课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩,,
肿瘤离我们有多远,通识选修课（公选课）,科学精神与生命关怀,宋启斌,老师讲的很好，每节课老师不一样，可以对癌症已深入了解,一定不要缺考勤，本人漏了一次被卡绩点了,5000字论文结课，凭什么要多于十个字才能过,87,,
恋爱必修课：恋爱心理学与两性健康 ,通识选修课（公选课）,科学精神与生命关怀,李爱斌,恋爱心理学，生殖与健康,偶尔有签到，结课是论文，上课有提问但不是点名提问,"1000字感想，大多3.3,少数4",88,,
外交礼仪与谈判,通识选修课（公选课）,社会科学与现代社会,吴蔚,主要讲服装礼仪、外交礼仪，老师会分享一些自己出国的故事。这学期同学分享特别特别多，所以老师讲的少。感觉收获一般。但是老师人很好，经历也很丰富。,每次课代表会点名。无提问。有一次pre。,闭卷考试。倒数第二节课会划重点，感觉不是特别难，背两个小时ok。,90,,
素质体育1,体育课,非公选课,李浩冉,老师很好，我感觉应该是被捞了 ～,平时会点名，注意别缺勤。,所以素质体育都差不多。,90,,
宏观经济学,专业课程,非公选课,李酣,课烂，总评成绩靠小测期中和期末,没有考勤，没有作业，事情很少,通过期末考试闭卷考试,90,,
国际经济学,专业课程,非公选课,陈仁静,国际经济，老师人好好，温柔负责,无考勤，有作业，按时交认真写即可,闭卷考试，结合所学章节,96,,
高等数学A2,公共课（高数、线代、大物和思政课等）,非公选课,胡捷,什么胡老师，是胡妈妈??,无签到，有提问，没有小组展示,高数 考试结课 2h,95,,
古典音乐与西方文明,通识选修课（公选课）,艺术体验与审美鉴赏,葛佳嘉,古典音乐知识，老师很有趣，给分很好，没有课后作业，知识很硬核,平时一次突击点名，两次小测，一次期末考试。考试用学习通，包括常识题和听歌识曲，考试很硬核，平时要拍点ppt。,期末考核如上一题所述内容,95,,
Java程序设计,专业课程,非公选课,孟庆祥,主要教Java入门和Java有关的课程,没有考试，期末有一个非常简单的编程作业,编程作业（真的十分简单）+报告结课,95,,
发展心理学,专业课程,非公选课,张春妹,"教材内容 发展心理学第九版
非常不适合作为专选 事情很多",课前提问十五次满分 课上互动十次满分 文献阅读报告 个案分析报告 调研报告,闭卷考试 没有重点和范围,88,,
简明世界史,通识选修课（公选课）,中华文化与世界文明,潘迎春,简单讲述世界各国历史,无作业无签到无小组展示,开卷考试结课，类似于与历史相关的语文作文,90,,
中国现当代女性文学研究,专业课程,非公选课,叶李,课程很不错，很有启发，老师认真负责,无签到 有一次平时作业 一次小组展示 ,3000—5000字论文结课,92,,
外交礼仪与谈判,通识选修课（公选课）,社会科学与现代社会,吴蔚,老师很好，去过很多国家,平常有小组展示的作业,平时分数加期末闭卷考,92,,
简明中国史,通识选修课（公选课）,中华文化与世界文明,魏斌,非常轻松讲的很好 给分极好,没有签到没有提问没有作业,慕课结课考试 开卷特别好,100,,
神奇的人体免疫,通识选修课（公选课）,科学精神与生命关怀,罗凤玲,挺有意思的 还能测个血型,学习通签到 没有平时作业,小组展示作为期末结课标准,92,,
西方哲学,专业课程,非公选课,苏德超,西方哲学的内容，如上帝实在真理等等，老师很好，课很硬核,每周一篇小作文，会单独打分和在小组内推举作小组平时分，结课开卷考,开卷考 小组内要有一定数量的90+才有平时成绩,90,,
机器学习与大数据,通识必修课（导引课）,非公选课,Ruisheng Wang,机器学习相关内容，主要侧重于图像方面的大数据,有签到、提问、小组展示、论文、大作业等,都需要完成一篇课程论文,90,,
管理学,专业课程,非公选课,李昌骏,管理学专业课，不难，很有趣,有签到，课堂活动较多,闭卷考试，有画相关重点,90,,
旅行生活与寄生虫病,通识选修课（公选课）,科学精神与生命关怀,蔡国斌,老师人很好，有两次平时小作业，最后期末论文结课，不查重,没有签到，会有两次小作业，都是选择题,论文结课，论文不查重3000字,93,,
高等数学A1,公共课（高数、线代、大物和思政课等）,非公选课,李大美,讲课很好，没有回答问题，但卡绩,两周交一次作业（可以迟交）,平时成绩（作业）+期末考试,89,,
马克思主义原理,公共课（高数、线代、大物和思政课等）,非公选课,谭兴林,新老师 但是狠神仙 她是真的想让学生们听懂什么 给分嘛 还没出成绩,她考勤还是比较严格的 会提问,马原当然是闭卷考试了,0,,
一国两制,通识选修课（公选课）,社会科学与现代社会,段,好好好好好好好好好好好好,无什么都无，就最后一个论文,论文论文论文论文论文,99,,
细胞生物学,专业课程,非公选课,宋质银,老师算很好了，课比较硬,三次作业，没有期中，不点到,闭卷考试 考试内容极多,86,,
线性代数c,公共课（高数、线代、大物和思政课等）,非公选课,李小山,老师讲的很好很细，期末会捞,无签到，有小测和作业,全校统一闭卷考试，会捞,81,,
文学欣赏与批评,通识选修课（公选课）,艺术体验与审美鉴赏,陈国恩p,讲解了《狼图腾》《狂人日记》等经典文本，也讲授了文学欣赏、批评的一些理论性内容。课程比较轻松，老师人很好。,一共到课三次，一次是说明课程要求，一次是中期课堂讨论（上台展示可以加分），最后一次是考试。其余时间均为线上慕课学习。,开卷考试，内容主要是写一篇赏析文章和一道分析简答题。,91,,
大学英语3,英语课,非公选课,余诗龙,感觉老师很佛系 要求不是很严格 挺好的hhh,有点名 平时有两次小组pre 口语也是小组pre形式（不用脱稿 特别爽,正常考试 还有口语考试balabala,91,,
高级英语视听说,英语课,非公选课,徐义志,跟平常英语课差不多，回答问题之类的,有签到，有作业，有提问，会有小组活动,期末考试结课，平时分有一定占比,92,,
遥感概论,专业课程,非公选课,费腾,遥感相关入门知识，是一门专业必修课,平时有展示，平时没有签到,闭卷考试，很简单，背就好了,90,,
身边的材料学,通识选修课（公选课）,科学精神与生命关怀,肖立平,主要讲材料学知识，老师人很好,没有平时作业，不点名,一篇2000字小论文，给分高,94,,
健美操高级,体育课,非公选课,贾凤蓉,学二级和三级大众健美操,平时没有作业，但是考勤要求很高。,10%是50米跑，10%是乐跑，20%是签到，60%是期末要编一个健美操。,89,,
美的历程,通识选修课（公选课）,艺术体验与审美鉴赏,周祝红,老师讲课很认真也很生动，但这门课实际上没有它的课头名字听起来这么简单舒适。课程内容是西方的美学史，而美学史是基于哲学的，所以会先讲哲学再讲基于哲学的美学史，内容从古希腊到后现代，跨度挺大的。教材是邓晓芒先生的西方美学史。,没有签到和硬性规定的提问。有两次小测（但其实并不小），每次有4道题，开卷，但照抄没用，需要你上课有认真听、考前复习并且平时注意积累审美经验。最后的结课是一篇鉴赏论文，可以鉴赏任何东西一首歌一部电影一本书一款游戏…最后会抽其中一些同学或者自己主动报名，在最后一节课展示一下你鉴赏的东西。,鉴赏论文1000字左右,89,,
高等数学,公共课（高数、线代、大物和思政课等）,非公选课,李大美,老师讲课很通俗易懂，上课也还比较有趣的,没有签到任务，作业是隔一周交一次，考试老师不会自己多安排，都是按学院的必须的考试安排来,考试成绩不低于五十五,88,,
现代语言学,通识选修课（公选课）,中华文化与世界文明,杨旭,语言学历史的各种研究历程,论文，，，，，，，，,开卷，，，，，，，，，,90,,
国际经济学,专业课程,非公选课,李锴,老师讲课非常认真，会有两次平时小测，有点难，但是讲得很好,没有签到，但是可能会随机点人回答问题,闭卷考试，据说考的难度还可以，不算很难,90,,
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,江柏安,有10次平时测试，和一次期末考试，都是开卷，可以翻书，还可以，就是不让玩手机,每次课后小测试+期末大测试,期末开卷考试50题占比50%，平时测试占50%,90,,
军理,公共课（高数、线代、大物和思政课等）,非公选课,戴新武,很可以水的一门课，中期一次纸质签到签到上就没事了,课程中期一次签到，一次小论文,统一考试，闭卷，但提前发答案范围,90,,
数据库技术,专业课程,非公选课,高建华,gjh真的大好人，选数据库直接选他,有签到和大作业计入期末,期末考试上机（开卷）（占比不大）,94,,
建筑装饰漫谈,通识选修课（公选课）,科学精神与生命关怀,吴定燕,老师给分很好，人也很温柔，事也特别少,群接龙签到，有两次小组合作，一个是打卡宜家这样的地方，拍个照就行，一次是插画，都很简单,一篇论文结课，比较简单，不查重,91,,
